,116,0.0534
,black pepper,68,0.0534
,kosher salt,46,0.0534
,sea salt,45,0.0534
,garlic,31,0.0534
,cinnamon,30,0.0534
,nutritional yeast,27,0.0534
,maple syrup,23,0.0534
,extra virgin olive oil,23,0.0534
,cumin,22,0.0534
,simply nature extra virgin olive oil,20,0.0534
,water,19,0.0534
,ginger,19,0.0534
,rinsed,17,0.0534
,baking powder,17,0.0534
,yellow,17,0.0534
,kosher salt sea salt,16,0.0534
,vegetable broth,16,0.0534
,cloves,15,0.0534
,lemon juice,15,0.0534
,baking soda,14,0.0534
,onion powder,14,0.0534
,olive oil,13,0.0534
,turmeric,13,0.0534
,kosher,12,0.0534
,red pepper flakes,12,0.0534
,smoked paprika,11,0.0534
,squeezed lemon juice,11,0.0534
,lemon,11,0.0534
,flour,11,0.0534
,dried,10,0.0534
,garlic powder,10,0.0534
,sugar,10,0.0534
,garam masala,10,0.0534
,bay leaf,10,0.0534
,paprika,9,0.0534
,garlic roughly,9,0.0534
,tahini,9,0.0534
,cashews,9,0.0534
,kosher salt black pepper,9,0.0534
,squeezed lime juice,9,0.0534
,apple cider vinegar,8,0.0534
,grated nutmeg,8,0.0534
,cumin seeds,8,0.0534
,lime juice,7,0.0534
,allspice,7,0.0534
,chili powder,7,0.0534
,dijon mustard,7,0.0534
,piece grated,7,0.0534
,bay leaves,7,0.0534
,coconut milk,7,0.0534
,walnuts,6,0.0534
,extra virgin olive,6,0.0534
,arrowroot powder,6,0.0534
,leaves tender,6,0.0534
,grated ginger,6,0.0534
,sweet,5,0.0534
,brown sugar,5,0.0534
,lime,5,0.0534
,seeds,5,0.0534
,as needed,5,0.0534
,squeezed juice,5,0.0534
,simply nature avocado oil,5,0.0534
,sauce,5,0.0534
,butter,5,0.0534
,sesame oil,5,0.0534
,red onion,4,0.0534
,rolled oats as needed),4,0.0534
,shredded coconut,4,0.0534
,sea salt kosher salt,4,0.0534
,ounces,4,0.0534
,powdered sugar,4,0.0534
,thinly sliced,4,0.0534
,coconut sugar brown sugar,4,0.0534
,garlic crushed with a press,4,0.0534
,cayenne pepper,4,0.0534
,white miso,4,0.0534
,flaky coarse sea salt,4,0.0534
,soy sauce tamari,4,0.0534
,sweet hot paprika,4,0.0534
,aquafaba liquid from a chickpeas),4,0.0534
,almond,4,0.0534
,coconut oil oil choice),4,0.0534
,hot,3,0.0534
,chia seeds,3,0.0534
,sliced,3,0.0534
,flaxseed meal,3,0.0534
,oat milk choice,3,0.0534
,cacao powder cocoa powder,3,0.0534
,ice as needed,3,0.0534
,white yellow miso,3,0.0534
,basil leaves,3,0.0534
,rolled oats,3,0.0534
,coconut oil,3,0.0534
,nutmeg,3,0.0534
,a sea salt,3,0.0534
,ice water,3,0.0534
,whole peeled crushed by,3,0.0534
,red wine vinegar,3,0.0534
,leaves tender stems,3,0.0534
,ketchup,3,0.0534
,⅛ cayenne pepper,3,0.0534
,basil slivered,3,0.0534
,thyme sprigs,3,0.0534
