url,name,ingredient
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,1 1/2 cups (360 ml) unsweetened oat milk*
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,2 tablespoons creamy almond butter
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,"2 soft large(ish) medjool dates, pitted and torn in half"
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,"1/2 teaspoon ground cinnamon, extra for dusting the top"
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,a pinch of cayenne pepper
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,1 large strip of orange peel
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,1 teaspoon vanilla extract
https://rainbowplantlife.com/sweet-and-spicy-almond-butter-date-latte/,Sweet and Spicy Almond Butter Date Latte,1/4 - 1/2 cup (60 - 120 ml) strongly brewed hot coffee**
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,large sweet potatoes (however many you want)
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,4 baked sweet potatoes
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,"1 15-ounce can (440g) chickpeas, drained and rinsed thoroughly*"
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,2 teaspoons olive oil
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,1/2 teaspoon dried oregano
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,1/2 teaspoon dried thyme
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,1/2 teaspoon garlic powder
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,1/2  teaspoon paprika
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,kosher or sea salt to taste
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,juice of 1/2 lemon
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,1/2  cup (120g) hummus (store-bought or homemade) (can use as much as you want)
https://rainbowplantlife.com/stuffed-breakfast-sweet-potatoes-five-recipes/,Stuffed Breakfast Sweet Potatoes: 5 Recipes!,"2-3 cups (130-195g) raw lacinato kale, finely shredded"
